City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ashta,23.0167,76.7167,29.7,19,80,1.87,IN,1682445779
1,bethel,41.3712,-73.414,14.79,46,89,0.89,US,1682445779
2,grytviken,-54.2811,-36.5092,3.91,98,100,4.66,GS,1682445780
3,coahuayana de hidalgo,18.7,-103.6583,32.01,40,94,3.32,MX,1682445780
4,isafjordur,66.0755,-23.124,0.02,55,40,6.69,IS,1682445780
5,mata-utu,-13.2816,-176.1745,28.05,75,73,1.86,WF,1682445780
6,stornoway,58.2093,-6.3865,6.63,59,75,2.06,GB,1682445781
7,port elizabeth,-33.918,25.5701,20.05,90,0,1.54,ZA,1682445781
8,lerwick,60.1545,-1.1494,6.0,54,97,7.0,GB,1682445781
9,bilibino,68.0546,166.4372,-13.96,75,96,1.46,RU,1682445782
10,port-aux-francais,-49.35,70.2167,4.36,79,9,11.35,TF,1682445782
11,polovinnoye,54.7914,65.9864,14.53,43,1,2.89,RU,1682445782
12,kalianget,-7.05,113.9333,26.46,85,35,1.55,ID,1682445782
13,akhuryan,40.78,43.9003,8.84,76,59,2.57,AM,1682445783
14,san patricio,28.017,-97.5169,25.94,71,86,5.91,US,1682445783
15,puerto lempira,15.2667,-83.7667,31.08,74,40,2.57,HN,1682445783
16,kasongo-lunda,-6.4667,16.8167,23.25,93,59,0.3,CD,1682445784
17,waitangi,-43.9535,-176.5597,15.46,83,75,4.02,NZ,1682445784
18,tolanaro,-25.0319,46.9987,22.04,73,40,3.09,MG,1682445784
19,kailua-kona,19.6406,-155.9956,26.39,74,77,0.45,US,1682445620
20,tchaourou,8.8865,2.5975,31.41,42,80,2.83,BJ,1682445785
21,nar'yan-mar,67.6713,53.087,-5.89,88,9,5.56,RU,1682445785
22,yaring,6.8662,101.3689,26.79,84,84,2.59,TH,1682445785
23,puerto natales,-51.7236,-72.4875,10.25,50,20,9.77,CL,1682445745
24,hasaki,35.7333,140.8333,14.22,74,100,8.27,JP,1682445785
25,avarua,-21.2078,-159.775,22.03,94,88,1.54,CK,1682445786
26,whitehorse,60.7161,-135.0538,3.39,55,20,4.12,CA,1682445633
27,invercargill,-46.4,168.35,11.68,82,97,0.89,NZ,1682445786
28,kotabumi,-4.8333,104.9,24.42,94,100,1.15,ID,1682445786
29,vorgashor,67.5833,63.95,-11.16,95,11,3.48,RU,1682445787
30,aasiaat,68.7098,-52.8699,0.03,99,100,1.44,GL,1682445787
31,tiksi,71.6872,128.8694,-14.01,99,100,1.95,RU,1682445788
32,lebu,-37.6167,-73.65,14.91,73,100,2.12,CL,1682445646
33,ribeira grande,38.5167,-28.7,18.22,94,40,6.71,PT,1682445788
34,haiku-pauwela,20.9219,-156.3051,25.02,84,10,1.98,US,1682445788
35,poso,-1.3959,120.7524,25.65,81,93,2.23,ID,1682445789
36,campeche,19.0,-90.5,38.59,30,69,0.77,MX,1682445509
37,viedma,-40.8135,-62.9967,26.15,32,45,5.41,AR,1682445789
38,college,64.8569,-147.8028,-4.56,54,75,3.6,US,1682445601
39,belyy yar,53.6039,91.3903,-1.06,59,0,4.0,RU,1682445789
40,puerto ayora,-0.7393,-90.3518,28.98,89,3,1.79,EC,1682445789
41,ballina,-28.8667,153.5667,15.99,75,53,5.47,AU,1682445790
42,qazvin,36.2797,50.0049,15.79,63,75,5.14,IR,1682445790
